k1,zeta1,max_body_displacement,rms_body_acceleration,settling_time,max_suspension_travel
15000.0,0.2,0.2791473753765786,2.2901771806939597,4.07,0.16714571853727583
15000.0,0.25,0.270411428064658,2.06062628746346,3.5100000000000002,0.1533112309651875
15000.0,0.30000000000000004,0.2632086397699162,1.9062591841821726,3.0,0.14134409271321227
15000.0,0.35000000000000003,0.2572278105616329,1.7986226847965063,2.5100000000000002,0.13078425831515464
15000.0,0.4,0.25223252384258465,1.7217434208245894,2.45,0.12152050915474268
17500.0,0.2,0.2825290142383885,2.495595126281469,3.83,0.15569503585723382
17500.0,0.25,0.27379173204383805,2.235642871546627,3.31,0.14271215266269124
17500.0,0.30000000000000004,0.26651984686135544,2.058611112777578,2.83,0.13147162242297056
17500.0,0.35000000000000003,0.26041305911463125,1.9331811380602246,2.38,0.12158789175693469
17500.0,0.4,0.2552276420106207,1.8418404100753027,2.33,0.11285653409096105
20000.0,0.2,0.28440851103942144,2.664349568381348,3.64,0.14516597714505092
20000.0,0.25,0.27575585767183586,2.379463843576829,3.15,0.13298924366504017
20000.0,0.30000000000000004,0.2685218887652965,2.1837667885680787,2.7,0.1224665512809474
20000.0,0.35000000000000003,0.2624088709976411,2.043619081325916,2.27,0.11327338464466892
20000.0,0.4,0.25717621498942544,1.9402754349939864,2.23,0.10516266925694376
22500.0,0.2,0.2854611859443109,2.8010349453796457,3.48,0.13554208700556244
22500.0,0.25,0.27686553366506295,2.4963685017131376,3.02,0.12423966683061083
22500.0,0.30000000000000004,0.2696903141417831,2.2857340232469263,2.59,0.1143977735802613
22500.0,0.35000000000000003,0.2636231551463639,2.133727312169676,2.19,0.10577826057635195
22500.0,0.4,0.2583789457661576,2.0206581963509582,2.14,0.09818859199178437
25000.0,0.2,0.28581196509266016,2.90984738844511,3.67,0.1294251053668214
25000.0,0.25,0.2773695125883598,2.5900682064512965,2.91,0.11622968754042437
25000.0,0.30000000000000004,0.27029940325426083,2.367899138281694,2.5,0.10705262973189017
25000.0,0.35000000000000003,0.2642892075842746,2.206636540224426,2.11,0.09904977295946776
25000.0,0.4,0.25903694772096314,2.085908518433581,2.08,0.09199859390723714
